COFRADIA	ESPECIE	MES	data	Año	DIAS TRABA	Nº PERSON	Lonja Kg	Importe	Precio Kg en €	CPUE
A CORUÑA	Saccharina lattissima	7	06/07/2022	2022	1	1	1,000.00	600	0.6	1000
A CORUÑA	Saccharina lattissima	7	07/07/2022	2022	1	1	580	348	0.6	580
A CORUÑA	Saccharina lattissima	7	04/07/2022	2022	1	1	1,000.00	600	0.6	1000
A CORUÑA	Saccharina lattissima	7	05/07/2022	2022	1	1	1,000.00	600	0.6	1000
A CORUÑA	Saccharina lattissima	7	06/07/2022	2022	1	1	1,000.00	600	0.6	1000
A CORUÑA	Saccharina lattissima	7	07/07/2022	2022	1	1	580	348	0.6	580
A CORUÑA	Saccharina lattissima	7	04/07/2022	2022	1	1	1,000.00	600	0.6	1000
A CORUÑA	Saccharina lattissima	7	05/07/2022	2022	1	1	1,000.00	600	0.6	1000
A CORUÑA	Saccharina lattissima	7	06/07/2022	2022	1	1	1,000.00	600	0.6	1000
A CORUÑA	Saccharina lattissima	7	07/07/2022	2022	1	1	580	348	0.6	580
A CORUÑA	Saccharina lattissima	7	04/07/2022	2022	1	1	1,000.00	600	0.6	1000
A CORUÑA	Saccharina lattissima	7	07/07/2022	2022	1	1	580	348	0.6	580
A CORUÑA	Saccharina lattissima	6	18/06/2024	2024	1	1	952	571.2	0.6	952
A CORUÑA	Saccharina lattissima	6	19/06/2024	2024	1	1	950	570	0.6	950
A CORUÑA	Saccharina lattissima	6	26/06/2024	2024	1	1	986	591.6	0.6	986
A CORUÑA	Saccharina lattissima	6	18/06/2024	2024	1	2	952	571.2	0.6	476
A CORUÑA	Saccharina lattissima	6	19/06/2024	2024	1	2	950	570	0.6	475
A CORUÑA	Saccharina lattissima	6	26/06/2024	2024	1	2	986	591.6	0.6	493
A CORUÑA	Saccharina lattissima	6	18/06/2024	2024	1	1	952	571.2	0.6	952
A CORUÑA	Saccharina lattissima	6	19/06/2024	2024	1	1	950	570	0.6	950
A CORUÑA	Saccharina lattissima	6	26/06/2024	2024	1	1	986	591.6	0.6	986
A CORUÑA	Saccharina lattissima	6	18/06/2024	2024	1	1	952	571.2	0.6	952
A CORUÑA	Saccharina lattissima	6	19/06/2024	2024	1	1	950	570	0.6	950
A CORUÑA	Saccharina lattissima	6	26/06/2024	2024	1	1	986	591.6	0.6	986
A CORUÑA	Saccharina lattissima	7	04/07/2024	2024	1	1	947	568.2	0.6	947
A CORUÑA	Saccharina lattissima	7	09/07/2024	2024	1	1	948	568.8	0.6	948
A CORUÑA	Saccharina lattissima	7	10/07/2024	2024	1	1	966	579.6	0.6	966
A CORUÑA	Saccharina lattissima	7	17/07/2024	2024	1	1	1,000.00	600	0.6	1000
A CORUÑA	Saccharina lattissima	7	30/07/2024	2024	1	1	790	474	0.6	790
A CORUÑA	Saccharina lattissima	7	04/07/2024	2024	1	2	947	568.2	0.6	473.5
A CORUÑA	Saccharina lattissima	7	09/07/2024	2024	1	2	948	568.8	0.6	474
